subject_id,group,session_id,threshold_type,slope_per_run_within_session,intercept,n_runs,first_run,last_run
e39,experimental,5,no_distractor,0.004571428571428584,0.3773333333333334,6,1,6
e40,control,1,distractor,0.0012857142857142954,0.19966666666666663,6,1,6
e40,control,1,no_distractor,0.017428571428571456,0.17066666666666666,6,1,6
e40,control,2,distractor,0.008571428571428568,0.18892857142857145,8,1,8
e40,control,2,no_distractor,-0.006071428571428562,0.27107142857142846,8,1,8
e40,control,3,distractor,0.011190476190476185,0.23464285714285718,8,1,8
e40,control,3,no_distractor,-0.012738095238095217,0.2560714285714285,8,1,8
e40,control,4,distractor,-0.0011904761904761884,0.31660714285714275,8,1,8
e40,control,4,no_distractor,0.003809523809523796,0.1628571428571429,8,1,8
e40,control,5,distractor,-0.0034285714285714076,0.317,6,1,6
e40,control,5,no_distractor,-0.01142857142857142,0.17999999999999997,6,1,6
e41,experimental,1,distractor,-0.003714285714285709,0.22466666666666668,6,1,6
e41,experimental,1,no_distractor,0.027142857142857163,0.18000000000000002,6,1,6
e41,experimental,2,distractor,-0.003690476190476185,0.21910714285714283,8,1,8
e41,experimental,2,no_distractor,-0.0042857142857142885,0.3542857142857143,8,1,8
e41,experimental,3,distractor,-0.0024404761904761943,0.21160714285714288,8,1,8
e41,experimental,3,no_distractor,-0.008928571428571423,0.3789285714285715,8,1,8
e41,experimental,4,distractor,-0.0002380952380952307,0.18607142857142853,8,1,8
e41,experimental,4,no_distractor,-0.0009523809523809423,0.30428571428571416,8,1,8
e41,experimental,5,distractor,0.005142857142857156,0.207,6,1,6
e41,experimental,5,no_distractor,0.011714285714285707,0.28733333333333333,6,1,6
e42,control,1,distractor,0.0060000000000000045,0.20066666666666672,6,1,6
e42,control,1,no_distractor,0.018571428571428603,0.20999999999999994,6,1,6
e42,control,2,distractor,0.005714285714285724,0.22428571428571417,8,1,8
e42,control,2,no_distractor,-0.008928571428571447,0.3089285714285715,8,1,8
e42,control,3,distractor,0.001130952380952379,0.31428571428571433,8,1,8
